date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:24:48	95815/95815	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2018:08:14%20GMT	http://pixelwibes.com/template/ebazar/html/dist/index.html	C:/Users/johnm/Desktop/eeb/pixelwibes.com/template/ebazar/html/dist/index.html	(from )
02:24:49	113/113	---M-Z	200	added ('OK')	text/plain	etag:%22580d76-76-5f95ba2108b71-gzip%22	http://pixelwibes.com/robots.txt		(from )
02:24:49	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Tue,%2019%20Sep%202023%2018:08:14%20GMT	http://pixelwibes.com/template/ebazar/html/dist/favicon.ico	C:/Users/johnm/Desktop/eeb/pixelwibes.com/template/ebazar/html/dist/favicon.ico	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
02:24:49	3929/3929	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202023%2018:08:22%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/plugin/datatables/responsive.dataTables.min.css	C:/Users/johnm/Desktop/eeb/pixelwibes.com/template/ebazar/html/dist/assets/plugin/datatables/responsive.dataTables.min.css	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
02:24:49	5384/5384	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202023%2018:08:22%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/plugin/datatables/dataTables.bootstrap5.min.css	C:/Users/johnm/Desktop/eeb/pixelwibes.com/template/ebazar/html/dist/assets/plugin/datatables/dataTables.bootstrap5.min.css	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
02:24:50	71434/71434	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2018:08:14%20GMT	http://pixelwibes.com/template/ebazar/html/dist/product-grid.html	C:/Users/johnm/Desktop/eeb/pixelwibes.com/template/ebazar/html/dist/product-grid.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
02:24:51	98516/98516	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2018:08:14%20GMT	http://pixelwibes.com/template/ebazar/html/dist/product-list.html	C:/Users/johnm/Desktop/eeb/pixelwibes.com/template/ebazar/html/dist/product-list.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
02:24:51	101793/101793	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2018:08:14%20GMT	http://pixelwibes.com/template/ebazar/html/dist/product-edit.html	C:/Users/johnm/Desktop/eeb/pixelwibes.com/template/ebazar/html/dist/product-edit.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
02:24:52	79596/79596	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2018:08:14%20GMT	http://pixelwibes.com/template/ebazar/html/dist/product-detail.html	C:/Users/johnm/Desktop/eeb/pixelwibes.com/template/ebazar/html/dist/product-detail.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
02:24:53	100499/100499	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2018:08:14%20GMT	http://pixelwibes.com/template/ebazar/html/dist/product-add.html	C:/Users/johnm/Desktop/eeb/pixelwibes.com/template/ebazar/html/dist/product-add.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
02:24:53	421664/421664	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202023%2018:27:44%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/css/ebazar.style.min.css	C:/Users/johnm/Desktop/eeb/pixelwibes.com/template/ebazar/html/dist/assets/css/ebazar.style.min.css	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
02:24:53	49124/49124	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2018:08:14%20GMT	http://pixelwibes.com/template/ebazar/html/dist/product-cart.html	C:/Users/johnm/Desktop/eeb/pixelwibes.com/template/ebazar/html/dist/product-cart.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
02:24:54	61021/61021	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Sep%202023%2018:08:12%20GMT	http://pixelwibes.com/template/ebazar/html/dist/checkout.html	C:/Users/johnm/Desktop/eeb/pixelwibes.com/template/ebazar/html/dist/checkout.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
